大樂透組別: 1, Lotto Set: [16, 20, 21, 41, 43, 44, 46]
大樂透組別: 43, Lotto Set: [05, 11, 12, 24, 29, 30, 37]
大樂透組別: 44, Lotto Set: [06, 08, 09, 23, 30, 36, 48]
大樂透組別: 45, Lotto Set: [04, 08, 10, 12, 14, 29, 46]
大樂透組別: 46, Lotto Set: [07, 10, 21, 26, 27, 32, 38]
大樂透組別: 47, Lotto Set: [02, 04, 13, 29, 36, 48, 49]
大樂透組別: 48, Lotto Set: [04, 12, 20, 24, 28, 42, 43]
大樂透組別: 49, Lotto Set: [07, 19, 30, 35, 36, 39, 42]
大樂透組別: 50, Lotto Set: [01, 19, 25, 28, 30, 31, 34]
大樂透組別: 51, Lotto Set: [10, 13, 21, 22, 26, 29, 49]
大樂透組別: 52, Lotto Set: [07, 12, 16, 18, 30, 34, 44]
大樂透組別: 53, Lotto Set: [01, 02, 07, 17, 42, 47, 49]
大樂透組別: 54, Lotto Set: [02, 18, 27, 29, 38, 40, 46]
大樂透組別: 55, Lotto Set: [06, 13, 36, 37, 39, 42, 43]
大樂透組別: 56, Lotto Set: [01, 07, 28, 31, 33, 38, 49]
大樂透組別: 57, Lotto Set: [09, 11, 29, 31, 43, 46, 49]
大樂透組別: 58, Lotto Set: [03, 14, 22, 23, 26, 33, 37]
大樂透組別: 59, Lotto Set: [08, 13, 17, 21, 22, 40, 41]
大樂透組別: 60, Lotto Set: [03, 11, 16, 26, 29, 39, 47]
大樂透組別: 61, Lotto Set: [08, 11, 15, 26, 32, 42, 48]
大樂透組別: 62, Lotto Set: [01, 05, 11, 18, 29, 36, 40]
大樂透組別: 63, Lotto Set: [06, 09, 23, 31, 34, 35, 41]
大樂透組別: 64, Lotto Set: [09, 21, 27, 30, 41, 46, 48]
大樂透組別: 65, Lotto Set: [12, 22, 25, 28, 37, 42, 47]
大樂透組別: 66, Lotto Set: [01, 05, 08, 12, 36, 39, 43]
大樂透組別: 67, Lotto Set: [08, 25, 27, 31, 33, 36, 40]
大樂透組別: 68, Lotto Set: [07, 08, 09, 11, 22, 26, 30]
大樂透組別: 69, Lotto Set: [04, 05, 09, 13, 17, 22, 32]
大樂透組別: 70, Lotto Set: [07, 10, 11, 19, 26, 45, 47]
大樂透組別: 71, Lotto Set: [01, 08, 16, 22, 28, 38, 46]
大樂透組別: 72, Lotto Set: [10, 13, 14, 29, 43, 45, 48]
大樂透組別: 73, Lotto Set: [14, 16, 21, 23, 24, 41, 44]
大樂透組別: 74, Lotto Set: [02, 17, 23, 29, 32, 38, 41]
大樂透組別: 75, Lotto Set: [01, 19, 21, 27, 28, 39, 44]
大樂透組別: 76, Lotto Set: [04, 06, 17, 20, 40, 47, 48]
大樂透組別: 77, Lotto Set: [01, 04, 06, 07, 08, 10, 23]
大樂透組別: 78, Lotto Set: [01, 08, 14, 19, 20, 30, 46]
大樂透組別: 79, Lotto Set: [04, 07, 13, 31, 35, 41, 45]
大樂透組別: 80, Lotto Set: [07, 10, 14, 16, 23, 29, 47]
大樂透組別: 81, Lotto Set: [12, 17, 25, 33, 35, 39, 43]
大樂透組別: 82, Lotto Set: [02, 12, 20, 40, 42, 44, 46]
大樂透組別: 83, Lotto Set: [06, 09, 28, 32, 34, 37, 49]
大樂透組別: 84, Lotto Set: [03, 05, 16, 29, 36, 38, 48]
大樂透組別: 85, Lotto Set: [06, 07, 22, 29, 39, 45, 48]
大樂透組別: 86, Lotto Set: [07, 14, 19, 27, 34, 38, 48]
大樂透組別: 87, Lotto Set: [11, 14, 22, 24, 28, 33, 49]
大樂透組別: 88, Lotto Set: [05, 09, 10, 24, 29, 38, 49]
大樂透組別: 89, Lotto Set: [17, 25, 27, 35, 41, 42, 48]
大樂透組別: 90, Lotto Set: [03, 05, 13, 35, 36, 41, 45]
大樂透組別: 91, Lotto Set: [01, 22, 27, 29, 37, 39, 49]
大樂透組別: 92, Lotto Set: [02, 08, 20, 22, 38, 42, 45]
大樂透組別: 93, Lotto Set: [14, 18, 34, 36, 41, 43, 47]
大樂透組別: 94, Lotto Set: [04, 10, 20, 22, 36, 43, 48]
大樂透組別: 95, Lotto Set: [04, 06, 10, 18, 26, 47, 49]
大樂透組別: 96, Lotto Set: [05, 08, 21, 28, 35, 46, 49]
大樂透組別: 97, Lotto Set: [04, 05, 07, 22, 31, 36, 45]
大樂透組別: 98, Lotto Set: [02, 04, 07, 09, 30, 39, 44]
大樂透組別: 99, Lotto Set: [10, 16, 22, 28, 34, 36, 39]
大樂透組別: 100, Lotto Set: [07, 13, 28, 29, 41, 44, 48]
